title,autor,tutor,graduate_title,Carrera,year_approval,publication_timestamp,abstract,keyword
Estudio Geológico – Estructural de la zona de Pimampiro 1:25.000 entre las longitudes 78°00’ y 77°52’ O y las latitudes 0°20’ y 0°25’N,"Flores Quilca, Brian Alexander","Ibadango Anrrango, Cruz Elías",Ingeniera/o en Geología,Carrera de Ingeniería en Geología,2023,2023-08-17T15:09:43Z,"El estudio Geológico – estructural de la zona de Pimampiro 1:25.000 entre las longitudes 78°00’ y 77°52’O y las latitudes 0°20’ y 0°25’ N, confirma la ocurrencia de rocas
sedimentarias de un ambiente dominado por abanicos aluviales en su parte basal derivadas de una fuente exclusivamente metamórfica e intrusiva, y secuencias fluvio – lacustres más jóvenes derivadas de una fuente con mayor contenido de componentes volcánicos, sobreyaciendo en contacto discordante a rocas metamórficas semipelíticas de tipo filitas y cuarcitas. Las rocas sedimentarias estudiadas en la sección de Pimampiro, se dividen en dos secuencias con características texturales y composicionales diferentes, la primera corresponde a un depósito de conglomerados que no presentan una dirección de flujo y están deformados. Sus componentes presentan un dominio de material metamórfico e intrusivo depositados en un ambiente dominado por abanicos aluviales. La segunda secuencia comprende depósitos de conglomerados con dirección de flujo e intercalaciones de limolitas y areniscas depositadas en un ambiente fluvio – lacustre, por tanto, estas secuencias son
litológicamente correlacionables con la Formación Chota. Las rocas metamórficas expuestas en la parte occidental de la zona de estudio, junto con el análisis morfoestructural permitieron definir una estructura tipo horst tectónico, el cual está constituido por rocas de la Unidad Chiguinda. Esta gran estructura divide la microcuenca denominada Cuenca de Pimampiro de la Cuenca de Chota.",Abanicos aluviales||Ambiente fluvio – lacustre||Formación Chota||Horst tectónico
Análisis del Riesgo Climático y Amenazas Hidrometeorológicas y Morfoclimáticos considerando El Ordenamiento Territorial de la Ciudad de Cayambe.,"Merino Lascano, José Esteban","Alban Soria, Galo Fernando",Ingeniera/o en Geología,Carrera de Ingeniería en Geología,2023,2023-06-01T15:40:33Z,"La evaluación del riesgo climático forma parte de los parámetros considerados para el desarrollo de los Planes de Ordenamiento Territorial a nivel nacional propuesto por del Ministerio de Ambiente Agua y Transición Ecológica (MAATE) a través del uso de la Herramienta para la Incorporación del Criterio de Cambio Climático desarrollada por esta entidad, por lo cual se han propuesto metodologías para evaluar las amenazas hidrometeorológicas (inundaciones) y morfoclimáticos (deslizamientos) del área urbana de las parroquias Cayambe, Juan Montalvo y San José de Ayora pertenecientes al cantón Cayambe de la provincia de Pichincha, para lo cual se utilizó el método de Mora-Varhson modificado para evaluar la influencia de la precipitación y sus anomalías proyectadas hasta el 2040; a su vez se evaluó la zonas potenciales a sufrir inundaciones dentro del área urbana de estas parroquias considerando reportes del Cuerpo de Bomberos de Cayambe y la distribución de drenajes antiguos que actualmente se encuentran cubiertos y recorren bajo la ciudad formando parte del sistema de alcantarillado público. Los resultados del riesgo climático utilizando la herramienta propuesta por el MAATE se correlacionaron con la susceptibilidad a deslizamientos y con los reportes del Cuerpo de Bomberos de Cayambe respecto a las zonas inundadas durante lluvias fuertes (periodo 2010-2020), ratificando la influencia del cambio climático para la generación de deslizamientos e inundaciones.",Cambio climático||Riesgo climático||Cayambe
Análisis de Estabilidad del Talud por el método de Bishop en la Urbanización LDU en el flanco Occidental del Cerro Catequilla.,"Muñoz Vega, Pablo Andrés","Cruz Elías, Ibadango Anrrango",Ingeniera/o en Geología,Carrera de Ingeniería en Geología,2023,2023-12-21T17:10:28Z,"El objetivo del presente estudio es establecer el grado de estabilidad del talud por el método de Bishop Simplificado en la Urbanización LDU en el flanco Occidental del Cerro Catequilla, considerando que es una zona de expansión urbana y el análisis contribuye para definir estrategias de desarrollo en áreas semejantes. La investigación consta de varios parámetros, tales como la topografía a escala 1:5000, caracterización litológica y descripción de los afloramientos con sus respectivas columnas estratigráficas y caracterización geomecánica de suelos usando varios criterios de la Norma ASTM-D-2488. Las propiedades geomecánicas como ángulo de fricción y peso específico de los diferentes tipos de suelo fueron obtenidas de dos muestras con características más inestables mediante ensayo triaxial no consolidado no drenado. Los datos obtenidos se utilizaron en el método aproximado de Bishop simplificado que se realizó de dos maneras, utilizando la hoja de cálculo Excel y el Software Slide analizando varios casos. Adicionalmente, se consideró realizar la comparación con el método preciso Morgenstern – Price para tener una mejor correlación del Factor de Seguridad. La zona de estudio a la fecha se encuentra estable, pero se consideró realizar este análisis por la existencia de un deslizamiento antiguo que puede reactivarse afectando directamente toda la infraestructura al pie del talud.",Ángulo de fricción||Peso específico||Bishop simplificado||Factor de seguridad
Evaluación Macrosísmica del terremoto de Pujilí de 1962,"Castro Bedón, Bryan Paul","Ruiz Paspuel, Andrés Gorki",Ingeniera/o en Geología,Carrera de Ingeniería en Geología,2021,2021-05-13T15:20:18Z,"El estudio de los terremotos destructivos en la historia contribuye en la reducción de la incertidumbre sobre magnitudes y ubicaciones epicentrales. El Terremoto de Pujilí del 16 de noviembre de 1962, afectó poblaciones de la provincia de Cotopaxi; los daños causados por este terremoto fueron documentados en los medios impresos de la época. Esta información permitió construir un catálogo de intensidades, evaluados mediante la EMS – 98 y ESI – 07, que fueron utilizadas para relocalizar y caracterizar los parámetros sísmicos del evento. La relocalización del sismo junto con la sismicidad histórica e instrumental, análisis geomorfológicos e investigaciones neotectónicas recientes sugieren que la fuente sismogenética se relaciona con la falla La Victoria como fuente del terremoto de Pujilí de 1962. La isosista VI tiene una direccionalidad norte–sur, sugiriendo que ocurrió una transferencia de esfuerzos en esa dirección y posiblemente se relacione con el terremoto de Pujilí del 28 de marzo de 1996 (5,9 Mw), en el mismo sistema de fallas. Así, para conocer el potencial sísmico de la falla La Victoria se utilizó la solución del mecanismo focal del terremoto de Pujilí de 1996 en el software Coulomb 3.3. La solución del plano nodal (182/69/88) es el más coherente con la sismicidad registrada y muestra una acumulación de esfuerzos hacia el norte del segmento de falla, cercana a la ciudad de Pujilí. Por tal motivo, la falla La Victoria es una fuente sísmica capaz de generar sismos destructivos Mw>5 en ciclos sísmicos cortos.||The study of destructive earthquakes in history allows to reduce the uncertainty about magnitudes and epicentral locations. The Pujilí Earthquake of November 16, 1962, affected several villages on Cotopaxi province; the damage caused by this earthquake was documented into printed media of that time. This information was used to construct an intensity catalog from 19 sites evaluated through the EMS - 98 and ESI – 07. I used the intensity catalog to relocate and characterize the seismic parameters of the event. This new earthquake location was cross correlated with historical and instrumental seismicity, geomorphological analysis and recent neotectonics investigations that suggest La Victoria fault system as the source of the 1962 Pujilí earthquake. Isosist VI showed a north-south orientation and suggesting a stress transfer along this trend that will be strongly related to the March 28, 1996 (5.9 Mw) Pujilí earthquake in the same fault system. Then, to evaluate the seismic potential of the La Victoria fault, I used the 1996 Pujilí earthquake focal mechanism solution to compute the Coulomb stress change through the Coulomb 3.3. code. The solution of nodal plane (182/69/88) is the most consistent with the instrumental seismicity and shows stress accumulation towards the north of the failure segment, near Pujilí village. Thus, La Victoria fault system could trigger destructive earthquakes Mw >5 on short interseismic cycles",TERREMOTOS||FALLA LA VICTORIA||CAMBIO DE ESFUERZOS||1962||COTOPAXI||INTENSIDADES
"Caracterización mediante métodos de sísmica pasiva (HVSR) de un deslizamiento activo de mediana magnitud ubicado al Este del sector de Cachi Alto, cantón Pujilí, provincia de Cotopaxi","Bernal Barsallo, Carla Daniela","Alonso Pandavenes, Olegario Martin",Ingeniera/o en Geología,Carrera de Ingeniería en Geología,2021,2022-01-26T15:47:56Z,"Esta investigación se basa en la caracterización de un deslizamiento de mediana magnitud mediante la aplicación de la técnica de sísmica pasiva HVSR. La zona de estudio se sitúa en la población de Cachi Alto, ubicado al SW del cantón Pujilí, donde se realizó una campaña de 57 ensayos de HVSR, con la toma de datos estructurales de las grietas
longitudinales y transversales que atraviesan el deslizamiento. Posteriormente, se efectuó el procesamiento de datos donde se obtuvieron las gráficas “Frecuencia frente a H/V” donde los valores de la frecuencia natural del terreno (f0) están entre 1,65 y 27,14, mientras que los de la amplitud del cociente espectral H/V (A0) varían entre 1,85 y 17,29.
A partir de estos datos se creó un modelo 3D de la zona, identificando el plano de rotura del deslizamiento, el cual tiene forma característica de deslizamiento traslacional en la corona y cóncava al pie de éste, clasificándose como de tipo combinado (traslacional – rotacional), con dirección de desplazamiento hacia el NE y con un ángulo de inclinación
entre 8 – 9°. Adicionalmente, se realizó un perfil longitudinal y tres perfiles transversales los cuales atraviesan el FRM, e indican que la profundidad aproximada del plano de falla se encuentra a unos 28 m desde la superficie de aplicación de los ensayos. Esto representaría la diferencia entre el material removido con el estático o fijo. Con ello se pudo comprobar la eficacia de la técnica de sísmica pasiva HVSR en la caracterización de un fenómeno de deslizamiento del terreno.||The object of this research is a characterization of a medium magnitude landslide applying the HVSR passive seismic technique. The study area is near the village called Cachi Alto, located SW of Pujilí. The research was performed carrying out an HVSR campaign over 57 single points, together with the survey of the structural data even in the longitudinal
and transverse directions of fissures that cross the landslide. Therefore, the data processing was obtained from the graphs ""Frequency vs H/V"", where it was obtained the values of natural frequency (f0) which are between 1,65 and 27,14, while those of spectral ratio of H/V (A0) oscillate between 1,85 and 17,29. From these results, a 3D model of the area was drawing, and so, the fault plane of the landslide was delineated, showing that it has a characteristic translational sliding shape in the crown and a concave shape at the foot of this, being classified as a combined type (translational - rotational). The plane has a NE direction and an angle of inclination between 8 - 9 °. As a better representation of the area from this data, one longitudinal and three transverse sections were made that show the depth of the surface slide plane is about 28 m from the topographical surface. This would represent the difference between the material being removed and the static
one. Finally, the effectiveness of the HVSR passive seismic technique in characterizing a fault plane slide could be verified.",HVSR||FENÓMENOS DE REMOCIÓN EN MASA (FRM)||PLANO DE FALLA||PUJILÍ
Análisis de continuidad de extensión de la mineralización alrededor del sistema de alta sulfuración Loma Larga,"Morán Reascos, Darío Vicente","Jarrín Jurado, Jaime Raúl",Ingeniera/o en Geología,Carrera de Ingeniería en Geología,2017,2017-06-23T19:09:06Z,"El incremento de la actividad minera en el Ecuador ha permitido que empresas internacionales inviertan en proyectos actuales y nuevas áreas. INV Minerales Ecuador S.A. INVMINEC trabaja en el Proyecto Loma Larga. El objetivo principal de este trabajo es analizar la continuidad de extensión de la mineralización alrededor del sistema de alta sulfuración Loma Larga, utilizando información geológica, de alteración y geoquímica. El estudio se llevó a cabo en la Provincia del Azuay, a 30km al SW de la ciudad de Cuenca. Los resultados obtenidos demuestran evidencias de mineralización hacia el sur y continuidad del sistema epitermal hacia el oeste y noroeste del yacimiento.||The increase of the mining activity in Ecuador has allowed the investment of international companies in current projects and new mining concessions. INV Minerales Ecuador S.A. INVMINEC works at the Loma Larga Project. The main purpose of this work is to analyze the extension continuity of the mineralization around the Loma Larga High-Sulphidation System, by using geological information of alteration and geochemistry. The study was carried out in the Province of Azuay, 30Km to the SW of the city of Cuenca. The obtained results demonstrate mineralization evidences to the South and the continuity of an Epithermal System to the West and Northwest of the gold deposit.",LOMA LARGA||ALTA SULFURACIÓN||MINERALIZACIÓN||LITOLOGÍA||SISTEMA EPITERMAL
"Estratigrafía secuencial de los reservorios BT, T, U y Hollín de los bloques petroleros 64 y 65, con base en información de pozos","Michilena Valenzuela, Sammia Zooely","Zura Quilumbango, Cristian Bayardo",Ingeniera/o en Geología,Carrera de Ingeniería en Geología,2022,2022-05-10T19:37:57Z,"La estratigrafía secuencial permite determinar la historia geológica de depositación de estratos genéticamente relacionados vinculados a un control eustático, llegando a comprender el entorno depositacional en el que se encontraron al momento de su depositación e identificando superficies que denotan cambios en el mismo. Este tipo de estudios proporciona una guía base para la elaboración de modelos sedimentológicos detallados y la predicción de distribución en el subsuelo de rocas reservorio, lo que implica una mejor delimitación de las reservas de hidrocarburos. Esta metodología se realizó en los bloques petroleros 64 y 65 para la sección cretácica de la Cuenca Oriente, mediante el análisis de datos de pozos como: registros de imágenes, registros eléctricos y Master Log. La interpretación de estos permitió establecer 17 litofacies, cuya asociación permitió delimitar 9 ambientes depositacionales principales que varían desde ambientes fluviales continentales, estuarios dominados por mareas, ambientes marinos someros y marino abiertos; estos ambientes fueron correlacionados por electrofacies en 81 pozos, permitiendo la interpretación por estratigrafía secuencial de los campos en producción. Un total de 4 secuencias o ciclos sedimentarios fueron identificados siguiendo el Modelo de Secuencias Depositacional II; cada uno de estos ciclos están divididos por 3 system tracts: Lowstand (LST), Transgressive (TST) y Highstand (HST), mismos que fueron delimitados mediante la interpretación de superficies de estratigrafía secuencial. Estas superficies fueron comparadas con los límites propuestos por el MERNNR. Finalmente, se desarrollaron mapas de tendencias de areniscas de los mejores reservorios, donde una dirección de aporte NE-SW fue determinada.||Sequence stratigraphy helps to determine the deposition history of genetically related strata linked to eustatic control, which permits an understanding of the initial depositional environment conditions and the identification of surfaces that denote changes in it. This methodology provides a basic guide for built detailed sedimentological models and the prediction of distribution of reservoir rocks in the subsurface, which implies a better delimitation of hydrocarbon reserves. This methodology was carried out in blocks 64 and 65 and was applied in the Cretaceous section of the Oriente Basin, through the analysis of well data such as: image logs, electrical logs and Master Logs. The interpretation of the data allowed to establish 17 lithofacies, grouped in 9 main depositional environments that vary from continental fluvial environments, tide dominated estuaries, shallow marine and open marine environments. These environments were correlated by electrofacies in 81 wells, allowing interpretation by sequence stratigraphy of the producing oilfields.
A total of 4 sedimentary sequences or cycles were identified following the Depositational Sequence Model II; each of these cycles are divided by 3 system tracts: Lowstand (LST), Transgressive (TST) and Highstand (HST), which were delimited by interpreting sequence stratigraphy surfaces. These surfaces were compared with the limits proposed by the MERNNR. Finally, sand trend maps of the best reservoirs were developed, where a NE-SW supply direction was determined",Litofacies||Ambientes sedimentarios||Cortejos sedimentarios||Ciclos sedimentarios||Secuencias||Reservorio
Reformulación del algoritmo matemático de cálculo de susceptibilidad a fenómenos de remoción en masa en el tramo dos del Oleoducto de Crudos Pesados (OCP),"Betancourt Noroña, Lissette Mariana","Mateus Mayorga, Alex Mauricio",Ingeniera/o en Geología,Carrera de Ingeniería en Geología,2016,2017-03-06T21:08:32Z,"El tramo dos (TR2) del Oleoducto de Crudos Pesados (OCP) está ubicado sobre el Levantamiento Napo (Zona Subandina), Cordillera Real y parte del Valle Interandino; atravesando las provincias de Napo y Pichincha. Durante la vida institucional de OCP se han registrado innumerables movimientos en masa de distintas dimensiones; algunos de ellos han tenido como consecuencia la ruptura de la tubería, generando incalculables daños ambientales y pérdidas económicas. OCP evalúa las condiciones de susceptibilidad del TR2 periódicamente para prevenir los fenómenos mencionados; sin embargo, esta evaluación se realiza puntualmente en áreas que ya han sufrido algún tipo de movimiento, lo que hace necesaria la generación de una herramienta que permita tener una visión general de la susceptibilidad, en un área de influencia específica. El presente proyecto, hace uso de herramientas matemáticas (método estadístico univariado y proceso analítico jerárquico) que permiten priorizar y ponderar los factores involucrados en el cálculo de susceptibilidad; a través de las cuales se ha definido el nuevo algoritmo de cálculo. Además, se implementa la metodología del número de escurrimiento (N) para la evaluación de la infiltración de lluvia en el suelo, en reemplazo del factor de humedad del suelo que se empleaba previamente. Con estas consideraciones se ha generado el modelo de susceptibilidad del TR2 y se lo ha validado en función del inventario de fenómenos de remoción en masa; estableciendo una efectividad promedio del 85% para el presente modelo. Asimismo, se determinó que el factor de mayor influencia en la generación de movimientos en masa en el TR2 es la precipitación.||Section two (TR2 in Spanish) of the Oleoducto de Crudos Pesados (OCP) is located over the Napo Elevation (Sub-Andean Zone), Cordillera Real and part of the Inter-Andean Valley, going through the provinces of Napo and Pichincha. During the institutional life of the OCP, countless mass movements of different dimensions have been registered; some of them have broken the pipelines, causing incalculable environmental damages and economic losses. OCP evaluates the susceptibility conditions of the TR2 periodically in order to prevent the aforementioned phenomena; however, this evaluation is done specifically in areas that have already suffered some kind of movement, making it necessary the creation of a tool that allows having a general vision of the susceptibility in an area of specific influence. This project uses mathematical tools (univariate statistical method and analytical hierarchical process) that allow prioritizing and weighing the involved factors in the calculation of susceptibility. Through these factors the new calculation algorithm has been defined. In addition, the runoff curve number method (N) is implemented for the assessment of the rain infiltration into the soil, thus replacing the soil humidity factor previously used. Taking into account these considerations, the susceptibility model of the TR2 has been created and validated in relation to the inventory of mass removal phenomena, establishing this way an average effectiveness of 85% for the current model. Also, it was determined that the factor of greatest influence in the generation of mass movements in TR2 is precipitation.",FENÓMENOS DE REMOCIÓN EN MASA||MODELO DE SUSCEPTIBILIDAD||OLEODUCTO DE CRUDOS PESADOS||DAÑOS AMBIENTALES
"Análisis del potencial hidrocarburífero de la formación Hollín superior del Campo Drago, Cuenca Oriente, Ecuador","Carrillo Meléndez, Kimberly Salomé","Bustos Cedeño, Jairo Geovanny",Ingeniera/o en Geología,Carrera de Ingeniería en Geología,2020,2020-01-14T00:57:19Z,"La formación Hollín es uno de los reservorios de relevancia en la cuenca Oriente por su atractivo hidrocarburífero; en el campo Drago esta formación es considerada como un reservorio secundario conformado principalmente por areniscas con características petrofísicas de volumen de arcilla del 18.32%, porosidad efectiva del 13.26% y saturación de agua del 35.25% calculados a partir de análisis convencionales, además de contar con un valor de petróleo original en sitio de 10,21 MMBls.
La formación Hollín superior consta de tres tipos de roca principales obtenidos a partir de correlaciones de porosidad y permeabilidad basados en métodos gráficos, estos corresponden a tipo “Buena, Regular y Mala”, de igual forma estos datos fueron representados en el Plot Estratigráfico Modificado de Lorenz dando como resultado entre tres a cinco unidades de flujo cada una con características distintivas de capacidad de flujo y almacenamiento.
Presentando así, una calidad de reservorio de buena a regular, en donde las zonas con mayor potencial para la producción son con el tipo de roca “Bueno”, el cual muestra zona de pago atractiva para la producción.||Hollín formation is one of the relevant reservoirs in the Oriente basin, due to the hydrocarbon attraction. In Drago field, such formation is deemed a secondary reservoir, mainly composed of sandstones with petrophysical characteristics with clay volumes of 18.32%, and effective porosity of 13.26% and water saturation of 35.25% calculated from conventional analysis, in addition to counting with an original oil value in the site of 10.21 MMBls approximately.
The upper Hollín formation is composed of three main types of rock obtained from porosity and permeability correlations, based on graphic methods, that correspond to “Good, Fair and Bad”. Data were represented in a Lorenz’ Stratigraphic Modified Plot, resulting in three to five flow units each, with distinctive characteristics of flow and storing capacities.
It was presented this way, a reservoir with good to fair quality, and the zones with the higher potential for production are “Good” type of rock, showing a considerable payment zone for production.",HOLLÍN SUPERIOR||PETROFÍSICA||POROSIDAD||PERMEABILIDAD
Sismo de Pastocalle de 1976: Evaluación de intensidades mediante EMS-98 y ESI-2007,"Villacrés Villarreal, María José","Troncoso Salgado, Liliana Paulina",Ingeniera/o en Geología,Carrera de Ingeniería en Geología,2023,2023-09-08T15:14:30Z,"El sismo de Pastocalle de 1976 es uno de los más devastadores del siglo XX, ocasionó víctimas mortales e importantes daños estructurales en edificaciones y viviendas, pérdidas económicas en las parroquias de Pastocalle, Pastocalle Viejo, Toacaso y Tanicuhi, producto de una secuencia sísmica constituida de 3 eventos importantes registrados el lunes 4 (5.1 Mw), martes 5 (5.2 Mw) y miércoles 6 de octubre (5,7 Mw). La información recolectada de la prensa escrita, fotografías y testimonios voluntarios permitieron determinar 80 sitios afectados por el sismo del 6 de octubre que fueron evaluados mediante las escalas de intensidad EMS-98 y ESI-07 para determinar las isosistas y parámetros sísmicos del evento. Para este estudio se obtuvo isosistas de III a VII que presentan una forma elíptica y direccionamiento NNW/SSE. La relocalización del sismo se dio en base a las isosistas, la historia sísmica, la tectónica de la zona de Pastocalle y la aplicación del método de Bakun y Wentworth (1997) y se estableció el epicentro a 5 km al NW de la cabecera parroquial de Pastocalle, magnitud de 5.45 ±0.017 Mw y una profundidad de 9.55 km. Por lo tanto, se sugiere como potencial fuente sismogénica la falla Iliniza (transcurrente dextral) con dirección N37ºE y buzando 90º. Además, se logró identificar el potencial sísmico de la falla en base al modelo de cambios de esfuerzos con un plano nodal asumido (037/90/180) y con el apoyo del software Coulomb 3.3, con lo cual se identificó una zona de acumulación de esfuerzos al S de la parroquia de San Juan de Pastocalle y por lo que representa una zona potencial para generar nuevos sismos. El modelo de desplazamiento teórico refleja la relación entre las zonas con mayor desplazamiento y las isosistas de mayor intensidad, por ende, en las parroquias que se registraron las mayores afectaciones",Pastocalle||Falla Iliniza
